source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,noteworthy_env_cond,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMO BON Bergen Wa 220630 3uM (1),EMOBON metagenome water sample from station Bergen collected on 2022-06-30 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen_Wa_220630,David Rees,NA,no_tide,2,,1,10,fi,3-200,3,200,true,Niskin,WaSOP1,NA,2022-06-30,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,false,2022-10-10,2022-10-11,-70,2023-06-01,2023-06-01,,,,,EMOBON_Bergen_Wa_11
EMO BON Bergen Wa 220630 3uM (2),EMOBON metagenome water sample from station Bergen collected on 2022-06-30 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen_Wa_220630,David Rees,NA,no_tide,2,,2,10,fi,3-200,3,200,true,Niskin,WaSOP1,NA,2022-06-30,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,false,2022-10-10,2022-10-11,-70,2023-06-01,2023-06-01,,,,,EMOBON_Bergen_Wa_12
EMO BON Bergen Wa 220630 0.2uM (1),EMOBON metagenome water sample from station Bergen collected on 2022-06-30 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen_Wa_220630,David Rees,NA,no_tide,2,,1,10,fi,0.2-3,0.2,3,true,Niskin,WaSOP1,NA,2022-06-30,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,false,2022-10-10,2022-10-11,-70,2023-06-01,2023-06-01,,,,,EMOBON_Bergen_Wa_13
EMO BON Bergen Wa 220630 0.2uM (2),EMOBON metagenome water sample from station Bergen collected on 2022-06-30 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen_Wa_220630,David Rees,NA,no_tide,2,,2,10,fi,0.2-3,0.2,3,true,Niskin,WaSOP1,NA,2022-06-30,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,false,2022-10-10,2022-10-11,-70,2023-06-01,2023-06-01,,,,,EMOBON_Bergen_Wa_14
EMO BON Bergen Wa 220630 3uM (3),EMOBON metagenome water sample from station Bergen collected on 2022-06-30 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen_Wa_220630,David Rees,NA,no_tide,2,,3,10,fi,3-200,3,200,true,Niskin,WaSOP1,NA,2022-06-30,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_15
EMO BON Bergen Wa 220630 3uM (4),EMOBON metagenome water sample from station Bergen collected on 2022-06-30 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen_Wa_220630,David Rees,NA,no_tide,2,,4,10,fi,3-200,3,200,true,Niskin,WaSOP1,NA,2022-06-30,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_16
EMO BON Bergen Wa 220630 0.2uM (3),EMOBON metagenome water sample from station Bergen collected on 2022-06-30 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen_Wa_220630,David Rees,NA,no_tide,2,,3,10,fi,0.2-3,0.2,3,true,Niskin,WaSOP1,NA,2022-06-30,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_17
EMO BON Bergen Wa 220630 0.2uM (4),EMOBON metagenome water sample from station Bergen collected on 2022-06-30 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-06-30,Bergen_Wa_220630,David Rees,NA,no_tide,2,,4,10,fi,0.2-3,0.2,3,true,Niskin,WaSOP1,NA,2022-06-30,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_18
EMO BON Bergen Wa 220630 3uM (blank),EMOBON metagenome water sample from station Bergen collected on 2022-06-30 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,MilliQ water [ENVO:00003065],2022-06-30,Bergen_Wa_220630,David Rees,NA,no_tide,2,,blank_1,10,fi,3-200,3,200,true,Niskin,WaSOP1,NA,2022-06-30,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,false,2022-10-10,2022-10-11,-70,2023-06-01,2023-06-01,,,,,EMOBON_Bergen_Wa_19
EMO BON Bergen Wa 220630 0.2uM (blank),EMOBON metagenome water sample from station Bergen collected on 2022-06-30 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,MilliQ water [ENVO:00003065],2022-06-30,Bergen_Wa_220630,David Rees,NA,no_tide,2,,blank_1,10,fi,0.2-3,0.2,3,true,Niskin,WaSOP1,NA,2022-06-30,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,false,2022-10-10,2022-10-11,-70,2023-06-01,2023-06-01,,,,,EMOBON_Bergen_Wa_20
EMO BON Bergen Wa 220831 3uM (1),EMOBON metagenome water sample from station Bergen collected on 2022-08-31 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen_Wa_220831,David Rees,NA,no_tide,2,,1,10,fi,3-200,3,200,true,Niskin,WaSOP1,NA,2022-08-31,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,false,2022-10-10,2022-10-11,-70,2023-06-01,2023-06-01,,,,,EMOBON_Bergen_Wa_21
EMO BON Bergen Wa 220831 3uM (2),EMOBON metagenome water sample from station Bergen collected on 2022-08-31 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen_Wa_220831,David Rees,NA,no_tide,2,,2,10,fi,3-200,3,200,true,Niskin,WaSOP1,NA,2022-08-31,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,false,2022-10-10,2022-10-11,-70,2023-06-01,2023-06-01,,,,,EMOBON_Bergen_Wa_22
EMO BON Bergen Wa 220831 0.2uM (1),EMOBON metagenome water sample from station Bergen collected on 2022-08-31 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen_Wa_220831,David Rees,NA,no_tide,2,,1,10,fi,0.2-3,0.2,3,true,Niskin,WaSOP1,NA,2022-08-31,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,false,2022-10-10,2022-10-11,-70,2023-06-01,2023-06-01,,,,,EMOBON_Bergen_Wa_23
EMO BON Bergen Wa 220831 0.2uM (2),EMOBON metagenome water sample from station Bergen collected on 2022-08-31 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen_Wa_220831,David Rees,NA,no_tide,2,,2,10,fi,0.2-3,0.2,3,true,Niskin,WaSOP1,NA,2022-08-31,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,false,2022-10-10,2022-10-11,-70,2023-06-01,2023-06-01,,,,,EMOBON_Bergen_Wa_24
EMO BON Bergen Wa 220831 3uM (3),EMOBON metagenome water sample from station Bergen collected on 2022-08-31 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen_Wa_220831,David Rees,NA,no_tide,2,,3,10,fi,3-200,3,200,true,Niskin,WaSOP1,NA,2022-08-31,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_25
EMO BON Bergen Wa 220831 3uM (4),EMOBON metagenome water sample from station Bergen collected on 2022-08-31 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen_Wa_220831,David Rees,NA,no_tide,2,,4,10,fi,3-200,3,200,true,Niskin,WaSOP1,NA,2022-08-31,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_26
EMO BON Bergen Wa 220831 0.2uM (3),EMOBON metagenome water sample from station Bergen collected on 2022-08-31 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen_Wa_220831,David Rees,NA,no_tide,2,,3,10,fi,0.2-3,0.2,3,true,Niskin,WaSOP1,NA,2022-08-31,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_27
EMO BON Bergen Wa 220831 0.2uM (4),EMOBON metagenome water sample from station Bergen collected on 2022-08-31 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-31,Bergen_Wa_220831,David Rees,NA,no_tide,2,,4,10,fi,0.2-3,0.2,3,true,Niskin,WaSOP1,NA,2022-08-31,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_28
EMO BON Bergen Wa 220831 3uM (blank),EMOBON metagenome water sample from station Bergen collected on 2022-08-31 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,MilliQ water [ENVO:00003065],2022-08-31,Bergen_Wa_220831,David Rees,NA,no_tide,2,,blank_1,10,fi,3-200,3,200,true,Niskin,WaSOP1,NA,2022-08-31,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_29
EMO BON Bergen Wa 220831 0.2uM (blank),EMOBON metagenome water sample from station Bergen collected on 2022-08-31 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,MilliQ water [ENVO:00003065],2022-08-31,Bergen_Wa_220831,David Rees,NA,no_tide,2,,blank_1,10,fi,0.2-3,0.2,3,true,Niskin,WaSOP1,NA,2022-08-31,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_30
EMO BON Bergen Wa 221025 3uM (1),EMOBON metagenome water sample from station Bergen collected on 2022-10-25 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-25,Bergen_Wa_221025,David Rees,NA,no_tide,2,,1,10,fi,3-200,3,200,true,Niskin,WaSOP1,NA,2022-10-25,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,false,2023-06-12,2023-06-14,-70,,,,,,,EMOBON_Bergen_Wa_31
EMO BON Bergen Wa 221025 3uM (2),EMOBON metagenome water sample from station Bergen collected on 2022-10-25 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-25,Bergen_Wa_221025,David Rees,NA,no_tide,2,,2,10,fi,3-200,3,200,true,Niskin,WaSOP1,NA,2022-10-25,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,false,2023-06-12,2023-06-14,-70,,,,,,,EMOBON_Bergen_Wa_32
EMO BON Bergen Wa 221025 0.2uM (1),EMOBON metagenome water sample from station Bergen collected on 2022-10-25 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-25,Bergen_Wa_221025,David Rees,NA,no_tide,2,,1,10,fi,0.2-3,0.2,3,true,Niskin,WaSOP1,NA,2022-10-25,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,false,2023-06-12,2023-06-14,-70,,,,,,,EMOBON_Bergen_Wa_33
EMO BON Bergen Wa 221025 0.2uM (2),EMOBON metagenome water sample from station Bergen collected on 2022-10-25 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-25,Bergen_Wa_221025,David Rees,NA,no_tide,2,,2,10,fi,0.2-3,0.2,3,true,Niskin,WaSOP1,NA,2022-10-25,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,false,2023-06-12,2023-06-14,-70,,,,,,,EMOBON_Bergen_Wa_34
EMO BON Bergen Wa 221025 3uM (3),EMOBON metagenome water sample from station Bergen collected on 2022-10-25 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-25,Bergen_Wa_221025,David Rees,NA,no_tide,2,,3,10,fi,3-200,3,200,true,Niskin,WaSOP1,NA,2022-10-25,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_35
EMO BON Bergen Wa 221025 3uM (4),EMOBON metagenome water sample from station Bergen collected on 2022-10-25 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-25,Bergen_Wa_221025,David Rees,NA,no_tide,2,,4,10,fi,3-200,3,200,true,Niskin,WaSOP1,NA,2022-10-25,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_36
EMO BON Bergen Wa 221025 0.2uM (3),EMOBON metagenome water sample from station Bergen collected on 2022-10-25 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-25,Bergen_Wa_221025,David Rees,NA,no_tide,2,,3,10,fi,0.2-3,0.2,3,true,Niskin,WaSOP1,NA,2022-10-25,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_37
EMO BON Bergen Wa 221025 0.2uM (4),EMOBON metagenome water sample from station Bergen collected on 2022-10-25 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-10-25,Bergen_Wa_221025,David Rees,NA,no_tide,2,,4,10,fi,0.2-3,0.2,3,true,Niskin,WaSOP1,NA,2022-10-25,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_38
EMO BON Bergen Wa 221025 3uM (blank),EMOBON metagenome water sample from station Bergen collected on 2022-10-25 size fraction 3-200um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,MilliQ water [ENVO:00003065],2022-10-25,Bergen_Wa_221025,David Rees,NA,no_tide,2,,blank_1,10,fi,3-200,3,200,true,Niskin,WaSOP1,NA,2022-10-25,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_39
EMO BON Bergen Wa 221025 0.2uM (blank),EMOBON metagenome water sample from station Bergen collected on 2022-10-25 size fraction 0.2-3um,https://www.ncbi.nlm.nih.gov/taxonomy/browser/wwwtax.cgi?id=256318,metagenome,metagenome,MilliQ water [ENVO:00003065],2022-10-25,Bergen_Wa_221025,David Rees,NA,no_tide,2,,blank_1,10,fi,0.2-3,0.2,3,true,Niskin,WaSOP1,NA,2022-10-25,BIO upright -80C freezer; top shelf in upper section,-80,David Rees,NA,NA,NA,true,NA,NA,NA,NA,NA,,NA,NA,NA,EMOBON_Bergen_Wa_40
